	MedCodeId	Observations	Term	heart_failure				
99	a1959141000006116	80	Heart Age study: Failed to respond to third telephone invitation	heart_failure				
100	a8290471000006114	70	Heart failure initial assessment	heart_failure				
101	a1856381000006114	50	Heart failure monitoring default	heart_failure				
102	a76126013	50	Kyphoscoliotic heart disease	heart_failure				
103	a1216090015	50	"Acute oedema of lung, unspecified"	heart_failure				
104	a741701000006114	50	Hypertensive heart and renal disease with (congestive) heart failure	heart_failure				
105	a728671000006119	40	Malignant hypertensive heart disease with congestive cardiac failure	heart_failure				
106	a5573991000006118	40	Impaired left ventricular func	heart_failure				
107	a7573201000006117	30	Heart failure with reduced ejection fraction due to cardiomyopathy	heart_failure				
108	a3589241000006116	30	Chronic right-sided congestive heart failure	heart_failure				
109	a299853015	30	Other chronic pulmonary heart disease NOS	heart_failure				
110	a1539381000006117	30	Heart failure lifestyle plan commenced	heart_failure				
111	a3515953019	30	Heart failure self management plan	heart_failure				
112	a6212521000006115	30	Acute cardiac pulmonary oedema	heart_failure				
113	a7056281000006118	30	Congestive heart failure due to left ventricular systolic dysfunction	heart_failure				
114	a1539471000006111	20	Heart failure monitoring - unstable symptoms	heart_failure				
115	a6919191000006119	20	Diastolic heart failure	heart_failure				
116	a1747691000006119	20	Emergency heart failure admission since last appointment	heart_failure				
117	a1539491000006112	20	Heart failure monitoring - social issues	heart_failure				
118	a1539531000006112	20	Heart failure monitoring - co-morbidities	heart_failure				
119	a324975010	20	Heart-lung transplant failure and rejection	heart_failure				
120	a884211000006114	20	Other pulmonary heart disease	heart_failure				
121	a7250571000006113	20	Chronic systolic heart failure	heart_failure				
122	a1539391000006119	20	Heart failure information starter pack provided	heart_failure				
123	a324974014	20	Heart transplant failure and rejection	heart_failure				
124	a12623611000006114	20	Excepted from heart failure quality indicators - service unavailable	heart_failure				
125	a789941000006117	20	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	heart_failure				
126	a884191000006113	20	Chronic pulmonary heart dis.	heart_failure				
127	a8030311000006111	10	Exacerbation of congestive heart failure	heart_failure				
128	a12734351000006110	10	QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation using preferred method of communication	heart_failure				
129	a14015051000006114	10	Acute on chronic right-sided congestive heart failure	heart_failure				
130	a3886071000006114	10	LVF - Left ventricular failure	heart_failure				
131	a1784061000006118	10	Preferred place of care for next exacerbation of heart failure	heart_failure				
132	a4193361000006119	8	Chronic left-sided heart failure	heart_failure				
133	a7573181000006118	8	Heart failure with reduced ejection fraction due to coronary artery disease	heart_failure				
134	a7510321000006115	8	Asymptomatic left ventricular systolic dysfunction	heart_failure				
135	a7573211000006119	7	Heart failure with reduced ejection fraction due to heart valve disease	heart_failure				
136	a1539511000006118	7	Heart failure monitoring - multiple readmissions	heart_failure				
137	a6914191000006115	5	Systolic heart failure	heart_failure				
138	a7119751000006110	5	Chronic systolic dysfunction of left ventricle	heart_failure				
139	a1861741000006116	5	AURAS-AF - consider the patient not to have heart failure	heart_failure				
140	a6204381000006117	5	Acute right-sided heart failure	heart_failure				
141	a1959101000006118	4	Heart Age study: Failed to respond to NHS Health Check three written personalised invitations	heart_failure				
142	a6361031000006112	4	Depression of left ventricular systolic function	heart_failure				
143	a4005301000006110	4	Biventricular failure	heart_failure				
144	a7119761000006112	3	Chronic left ventricular systolic dysfunction	heart_failure				
145	a2405871000000117	3	Heart failure rehabilitation programme not available	heart_failure				
146	a2585431000006117	3	Chronic left-sided congestive heart failure	heart_failure				
147	a7475721000006114	3	Heart failure due to end stage congenital heart disease	heart_failure				
148	a1539501000006116	3	Heart failure monitoring - psychological issues	heart_failure				
149	a7573191000006115	3	Heart failure with reduced ejection fraction due to myocarditis	heart_failure				
150	a3800291000006115	3	COR - Chronic cor pulmonale	heart_failure				
151	a3182531000006110	2	Congestive heart disease	heart_failure				
152	a2660881000006116	2	High output heart failure	heart_failure				
153	a1861731000006114	2	AURAS-AF - consider the patient to have heart failure	heart_failure				
154	a8011111000006111	2	Congestive heart failure with right heart failure	heart_failure				
155	a3152691000006117	2	Acute pulmonary edema	heart_failure				
156	a3213831000006118	2	Right heart failure secondary to left heart failure	heart_failure				
157	a7507301000006110	2	Acute exacerbation of chronic congestive heart failure	heart_failure				
158	a8048061000006111	2	Chronic combined systolic and diastolic heart failure	heart_failure				
159	a3152701000006117	1	Acute edema of lung	heart_failure				
160	a3182561000006118	1	CHF - Congestive heart failure	heart_failure				
161	a1959071000006111	1	Heart Age study: Failed to respond to NHS Health Check three written standard invitations	heart_failure				
162	a3489281000006119	1	Hypertensive heart disease without congestive heart failure	heart_failure				
163	a3152721000006110	1	Pulmonary oedema - acute	heart_failure				
164	a1822161000006116	1	Heart failure pathway protocol not followed	heart_failure				
165	a7510341000006110	1	Symptomatic congestive heart failure	heart_failure				
166	a3868341000006118	1	HF - Heart failure	heart_failure				
167	a7052811000006113	1	Right heart failure due to pulmonary hypertension	heart_failure				
168	a8278041000006115	1	Rehabilitation for heart failure	heart_failure				
