	MedCodeId	Observations	Term	back_pain
62	a297150011	1000	Myelopathy due to spondylosis	back_pain
63	a311063018	1000	Multiple-level cervical spondylosis with myelopathy	back_pain
64	a5965351000006111	1000	Acute sciatica	back_pain
65	a5243201000006113	1000	Facet joint pain	back_pain
66	a5965361000006113	1000	Chronic sciatica	back_pain
67	a311096016	1000	Cervical spondylosis with vascular compression	back_pain
68	a311080019	1000	Two-level lumbosacral spondylosis without myelopathy	back_pain
69	a312614018	1000	[X]Other spondylosis	back_pain
70	a311093012	1000	Single-level cervical spondylosis with radiculopathy	back_pain
71	a311079017	1000	Single-level lumbosacral spondylosis without myelopathy	back_pain
72	a312630014	1000	[X]Other dorsalgia	back_pain
73	a311061016	900	Single-level cervical spondylosis with myelopathy	back_pain
74	a400269011	800	Dorsal spondylosis without myelopathy	back_pain
75	a311110012	700	Multiple-level lumbosacral spondylosis with radiculopathy	back_pain
76	a311070018	600	Multiple-level thoracic spondylosis without myelopathy	back_pain
77	a311108010	600	Single-level lumbosacral spondylosis with radiculopathy	back_pain
78	a312613012	500	[X]Other spondylosis with radiculopathy	back_pain
79	a311097013	500	Thoracic spondylosis with radiculopathy	back_pain
80	a311167015	500	Thoracic disc prolapse with radiculopathy	back_pain
81	a5620681000006112	500	LBP - Low back pain	back_pain
82	a311094018	500	Two-level cervical spondylosis with radiculopathy	back_pain
83	a311062011	500	Two-level cervical spondylosis with myelopathy	back_pain
84	a311085012	400	Multiple-level lumbosacral spondylosis with myelopathy	back_pain
85	a19006012	300	Thoracic spondylosis with myelopathy	back_pain
86	a311119013	300	Spondylosis with myelopathy	back_pain
87	a295464017	300	Psychogenic backache	back_pain
88	a311083017	300	Single-level lumbosacral spondylosis with myelopathy	back_pain
89	a1573621000006114	200	Non-mechanical back pain	back_pain
90	a311084011	100	Two-level lumbosacral spondylosis with myelopathy	back_pain
91	a311109019	100	Two-level lumbosacral spondylosis with radiculopathy	back_pain
92	a3498921000006118	90	Sacral back pain	back_pain
93	a311068010	80	Single-level thoracic spondylosis without myelopathy	back_pain
94	a4356061000006113	60	Lumbosacral spondylosis	back_pain
95	a311069019	50	Two-level thoracic spondylosis without myelopathy	back_pain
96	a5887181000006119	50	Postural low back pain	back_pain
97	a5621061000006116	50	Lumbar facet joint pain	back_pain
98	a423851000006113	50	[X]Psychogenic backache	back_pain
99	a311072014	40	Single-level thoracic spondylosis with myelopathy	back_pain
100	a5620721000006117	40	Lumbar pain	back_pain
101	a311099011	40	Single-level thoracic spondylosis with radiculopathy	back_pain
102	a312612019	40	[X]Other spondylosis with myelopathy	back_pain
103	a311103018	30	Multiple-level thoracic spondylosis with radiculopathy	back_pain
104	a311074010	30	Multiple-level thoracic spondylosis with myelopathy	back_pain
105	a5850321000006111	30	Cervical facet joint pain	back_pain
106	a4982421000006113	30	Back pain prevention education	back_pain
107	a5850341000006116	20	Thoracic facet joint pain	back_pain
108	a5618331000006113	20	CLBP - Chronic low back pain	back_pain
109	a8342961000006111	20	Intervertebral disc disorder with radiculopathy	back_pain
110	a3506319010	20	Left cervical radiculopathy	back_pain
111	a5620871000006113	10	Post-surgery back pain	back_pain
112	a8057071000006115	10	Lower back pain assessment	back_pain
113	a12735361000006113	10	Chronic mechanical low back pain	back_pain
114	a4405351000006118	10	Sacral radiculopathy	back_pain
115	a3184501000006113	10	Thoracic radiculopathy	back_pain
116	a2867631000006110	10	Sciatica neuralgia	back_pain
117	a2725861000000114	10	Backache without recent injury	back_pain
118	a4815111000006112	9	Cervical spondylosis with root compression	back_pain
119	a9834521000006119	8	Bilateral sciatica	back_pain
120	a1983991000006115	7	Manchester triage - Back pain	back_pain
121	a7489461000006116	6	Lumbar discogenic pain	back_pain
122	a311073016	5	Two-level thoracic spondylosis with myelopathy	back_pain
123	a1044081000006118	5	Adverse reaction to Nurofen Back Pain Sr	back_pain
124	a8093981000006116	5	Right sided thoracic back pain	back_pain
125	a3506316015	4	Right cervical radiculopathy	back_pain
126	a311100015	4	Two-level thoracic spondylosis with radiculopathy	back_pain
127	a6478111000006111	4	CS - Cervical spondylosis	back_pain
128	a8093991000006118	4	Left sided thoracic back pain	back_pain
129	a7489441000006115	4	Discogenic pain	back_pain
130	a6929631000006119	3	C/O - backache	back_pain
131	a2674231000006119	3	Thoracic spondylosis with cord compression	back_pain
132	a9869731000006115	2	Radiculopathy of lumbosacral spine due to disc disorder	back_pain
