	MedCodeId	Observations	Term	CVD		
122	a5058231000006119	400	Coronary artery stenosis	CVD		
123	a682481000006118	400	Myocardial infarction aborted	CVD		
124	a216351000006118	300	Post infarction pericarditis	CVD		
125	a4005601000006116	300	Calcific coronary arteriosclerosis	CVD		
126	a300874013	300	[X]Other forms of angina pectoris	CVD		
127	a109915012	300	Post-myocardial infarction syndrome	CVD		
128	a299804015	300	Other specified chronic ischaemic heart disease NOS	CVD		
129	a299800012	300	Other specified chronic ischaemic heart disease	CVD		
130	a1232666014	300	Cardiac aneurysm	CVD		
131	a12734391000006116	200	QOF (Quality and Outcomes Framework) secondary prevention of coronary heart disease quality indicator-related care invitation using preferred method of communication	CVD		
132	a967931000006114	200	Acute myocardial infarction of posterolateral wall	CVD		
133	a537751000006115	200	Cardiac rupture after acute myocardial infarction	CVD		
134	a6850801000006111	200	Disorder of coronary artery	CVD		
135	a494438016	200	Subendocardial ischaemia	CVD		
136	a299763015	200	Angina decubitus NOS	CVD		
137	a299790012	200	Aneurysm of heart NOS	CVD		
138	a299708014	200	Acute anteroapical infarction	CVD		
139	a299750014	200	Other acute and subacute ischaemic heart disease NOS	CVD		
140	a460686018	200	[V]Presence of aortocoronary bypass graft	CVD		
141	a299742017	200	Coronary thrombosis not resulting in myocardial infarction	CVD		
142	a6360391000006118	200	Atypical angina	CVD		
143	a6651221000006117	200	STEMI - ST elevation myocardial infarction	CVD		
144	a931961000006117	200	Acute coronary syndrome	CVD		
145	a299812011	100	Subsequent myocardial infarction of inferior wall	CVD		
146	a412682010	100	Transient myocardial ischaemia of newborn	CVD		
147	a3920021000006112	100	Coronary artery spasm angina	CVD		
148	a455422014	100	Postoperative subendocardial myocardial infarction	CVD		
149	a36036010	100	Syncope anginosa	CVD		
150	a7571581000006113	100	Acute anterior ST segment elevation myocardial infarction	CVD		
151	a6360351000006112	100	Multi vessel coronary artery disease	CVD		
152	a585631000000113	100	Emergency hospital admission for ischaemic heart disease	CVD		
153	a299719012	100	Acute atrial infarction	CVD		
154	a3371381000006110	90	CAD - Coronary artery disease	CVD		
155	a3381601000006117	90	Acute myocardial infarction of anterior wall	CVD		
156	a6864781000006110	90	Myocardial ischaemia	CVD		
157	a299811016	90	Subsequent myocardial infarction of anterior wall	CVD		
158	a813961000006116	90	Haemopericardium as current complication following acute myocardial infarction	CVD		
159	a362461000006119	80	[X]Acute transmural myocardial infarction of unspecif site	CVD		
160	a100681000006116	80	"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"	CVD		
161	a7572321000006112	80	Acute ST segment elevation myocardial infarction of inferior wall	CVD		
162	a455423016	80	"Postoperative myocardial infarction, unspecified"	CVD		
163	a7105241000006116	80	Typical angina	CVD		
164	a6601121000006118	80	Coronary artery thrombosis	CVD		
165	a498031000006112	80	Atrial septal defect as current complication following acute myocardial infarction	CVD		
166	a395755010	80	Other cardiac wall aneurysm	CVD		
167	a2619484018	70	MI - Myocardial infarction aborted	CVD		
168	a5887631000006111	70	Exertional angina	CVD		
169	a6546111000006118	70	ACS - Acute coronary syndrome	CVD		
170	a7572331000006110	70	Acute STEMI (ST elevation myocardial infarction) of inferior wall	CVD		
171	a7571601000006115	70	Acute STEMI (ST elevation myocardial infarction) of anterior wall	CVD		
172	a300879015	70	[X]Other forms of chronic ischaemic heart disease	CVD		
173	a67081000006119	60	Ventricular septal defect as current complication following acute myocardial infarction	CVD		
174	a6860251000006115	60	Ischemic heart disease	CVD		
175	a5056201000006111	50	Triple vessel coronary artery disease	CVD		
176	a32122016	50	Status anginosus	CVD		
177	a300876010	50	[X]Other forms of acute ischaemic heart disease	CVD		
178	a2729671000000118	40	Acute transmural myocardial infarction	CVD		
179	a8036721000006118	40	Chronic total occlusion of coronary artery	CVD		
180	a1229885017	40	Microinfarction of heart	CVD		
181	a411503014	40	Mural cardiac aneurysm	CVD		
182	a9868571000006116	40	Mural thrombus of left ventricle following acute myocardial infarction	CVD		
183	a543291000006110	40	Myocardial infarction with complication	CVD		
184	a14130101000006118	40	Stenosis of anterior descending branch of left coronary artery	CVD		
185	a4354151000006115	40	Right coronary artery occlusion	CVD		
186	a118831000006118	40	Subsequent myocardial infarction of unspecified site	CVD		
187	a4776071000006117	30	Two coronary vessel disease	CVD		
188	a6360361000006114	30	Left main coronary artery disease	CVD		
189	a616081000006113	30	Diabetes mellitus insulin-glucose infusion in acute myocardial infarction	CVD		
190	a3536581000006113	30	Coronary occlusion	CVD		
191	a14132941000006118	30	Myocardial infarction with non-obstructive coronary artery	CVD		
192	a3920011000006116	30	Variant angina	CVD		
193	a6860261000006118	30	IHD - Ischemic heart disease	CVD		
194	a3371361000006117	20	Coronary arteriosclerosis	CVD		
195	a4776031000006115	20	Ischaemic heart disease - angina	CVD		
196	a5056421000006119	20	Old inferior myocardial infarction	CVD		
197	a5056941000006119	20	Post-infarction pericarditis	CVD		
198	a3919991000006112	20	Prinzmetal angina	CVD		
199	a13941171000006115	20	Occlusion of mid left anterior descending coronary artery	CVD		
200	a212061000006119	20	Postoperative transmural myocardial infarction of anterior wall	CVD		
201	a4776141000006112	20	Ischemic cardiomyopathy	CVD		
202	a14130061000006116	20	Stenosis of right coronary artery	CVD		
203	a212071000006114	20	Postoperative transmural myocardial infarction of inferior wall	CVD		
204	a7475751000006117	20	Ischaemic dilated cardiomyopathy due to coronary artery disease	CVD		
205	a13941121000006116	20	Occlusion of proximal left anterior descending coronary artery	CVD		
206	a3166141000006114	20	"Angina, class II"	CVD		
207	a313424014	20	Congenital aneurysm of heart	CVD		
208	a6546751000006118	20	First myocardial infarction	CVD		
209	a299813018	20	Subsequent myocardial infarction of other sites	CVD		
210	a8459561000006118	20	Coronary heart disease monitoring invitation email	CVD		
211	a5056411000006110	10	Old anterior myocardial infarction	CVD		
212	a3641641000006116	10	Acute myocardial infarction of anterolateral wall	CVD		
213	a2855351000006111	10	Myocardial infarct	CVD		
214	a6841231000006113	10	Acute ischaemic heart disease	CVD		
215	a13941191000006119	10	Occlusion of distal left anterior descending coronary artery	CVD		
216	a3699921000006110	10	Acute inferior myocardial infarction	CVD		
217	a13930031000006112	10	Delayed postmyocardial infarction pericarditis	CVD		
218	a3565871000006113	10	Acute myocardial infarction of inferolateral wall	CVD		
219	a158601000006116	10	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction	CVD		
220	a12122341000006114	10	Acute ST segment elevation myocardial infarction of inferoposterior wall	CVD		
221	a12122331000006116	10	Acute ST segment elevation myocardial infarction of inferolateral wall	CVD		
222	a5935321000006111	10	Acute Q wave myocardial infarction	CVD		
223	a7508021000006119	10	CABG (coronary artery bypass graft) operation planned	CVD		
224	a300882013	10	[X]Subsequent myocardial infarction of unspecified site	CVD		
225	a3971381000006115	9	Ventricular aneurysm	CVD		
226	a14130081000006114	9	Stenosis of left coronary artery main stem	CVD		
227	a7502661000006117	9	Microvascular ischaemia of myocardium	CVD		
228	a2855341000006114	8	MI - Myocardial infarction	CVD		
229	a14130091000006112	8	Stenosis of circumflex branch of left coronary artery	CVD		
230	a7065281000006117	8	Ischaemic congestive cardiomyopathy	CVD		
231	a7573181000006118	8	Heart failure with reduced ejection fraction due to coronary artery disease	CVD		
232	a299758019	8	Stenocardia	CVD		
233	a5294511000006117	7	Coronary graft stenosis	CVD		
234	a3745741000006117	7	Acute myocardial infarction of inferoposterior wall	CVD		
235	a7572351000006115	7	Silent coronary vasospastic disease	CVD		
236	a3499001000006116	7	"Angina, class I"	CVD		
237	a3886751000006118	7	"Angina, class III"	CVD		
238	a13941141000006111	7	Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion	CVD		
239	a7574491000006114	6	Subsequent NSTEMI (non-ST segment elevation myocardial infarction)	CVD		
240	a212091000006110	6	Postoperative transmural myocardial infarction unspec site	CVD		
241	a6841391000006118	6	Acute myocardial ischaemia	CVD		
242	a7572341000006117	6	Acute inferior ST segment elevation myocardial infarction	CVD		
243	a159001000006119	6	Rupture of papillary muscle as current complication following acute myocardial infarction	CVD		
244	a4354131000006110	6	Left coronary artery occlusion	CVD		
245	a5056501000006113	6	Post-infarction ventricular septal defect	CVD		
246	a1218860015	6	Acute papillary muscle infarction	CVD		
247	a3452181000006112	5	Acute myocardial infarction of lateral wall	CVD		
248	a2515471000006117	5	Septal infarction by electrocardiogram	CVD		
249	a13945191000006117	5	Occlusion of anterior descending branch of left coronary artery	CVD		
250	a8087751000006116	5	Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery	CVD		
251	a9868461000006110	5	Unstable angina co-occurrent and due to coronary arteriosclerosis	CVD		
252	a6043771000006118	5	Non-Q wave myocardial infarction	CVD		
253	a4776051000006110	5	Single vessel coronary artery disease	CVD		
254	a7703511000006110	4	Subacute ischaemic heart disease	CVD		
255	a8011041000006111	4	Acute myocardial infarction due to right coronary artery occlusion	CVD		
256	a7084801000006112	4	Mixed myocardial ischaemia and infarction	CVD		
257	a494260016	4	Impending infarction	CVD		
258	a5647291000006110	4	Ischaemic myocardial dysfunction	CVD		
259	a300881018	4	[X]Subsequent myocardial infarction of other sites	CVD		
260	a3536601000006115	4	Coronary artery occluded	CVD		
261	a7572301000006119	3	Acute myocardial infarction during procedure	CVD		
262	a2571561000006118	3	Pre-infarction syndrome	CVD		
263	a9844011000006119	3	Acute ST segment elevation myocardial infarction of posterior wall	CVD		
264	a4775931000006111	3	Aborted myocardial infarction	CVD		
265	a5056431000006116	3	Old lateral myocardial infarction	CVD		
266	a9843961000006118	3	Acute ST segment elevation myocardial infarction of anterolateral wall	CVD		
267	a14145381000006119	3	Occlusion of circumflex branch of left coronary artery	CVD		
268	a4776001000006111	3	Anginal syndrome	CVD		
269	a4776081000006119	3	Double vessel coronary artery disease	CVD		
270	a12276271000006112	3	Progressive angina	CVD		
271	a8259701000006112	3	Referral to coronary heart disease clinic	CVD		
272	a14130111000006115	3	LAD (left anterior descending) coronary artery stenosis	CVD		
273	a3842391000006115	2	Ischaemic contracture of left ventricle syndrome	CVD		
274	a14130071000006111	2	RCA (right coronary artery) stenosis	CVD		
275	a9843981000006111	2	Acute ST segment elevation myocardial infarction of lateral wall	CVD		
276	a13935211000006117	2	Acute myocardial infarction of inferolateral wall with posterior extension	CVD		
277	a5056461000006113	2	MI - Silent myocardial infarction	CVD		
278	a7298951000006115	2	Arteriosclerosis of coronary artery bypass graft of transplanted heart	CVD		
279	a212081000006112	2	Postoperative transmural myocardial infarction other sites	CVD		
280	a7966931000006114	2	Angina associated with type 2 diabetes mellitus	CVD		
281	a5476971000006117	2	Aneurysm of membranous septum	CVD		
282	a5056441000006114	2	Old posterior myocardial infarction	CVD		
283	a13941091000006115	2	Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion	CVD		
284	a13945211000006116	2	Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery	CVD		
285	a158611000006118	2	Rupture of chordae tendinae as current complication following acute myocardial infarction	CVD		
286	a13947581000006115	2	Occlusion of diagonal branch of anterior descending branch of left coronary artery	CVD		
287	a5836981000006113	2	Left ventricular aneurysm	CVD		
288	a7093091000006111	2	Recent myocardial infarction	CVD		
289	a13945971000006115	2	Occlusion of septal branch of anterior descending branch of left coronary artery	CVD		
290	a13961321000006113	2	Occlusion of proximal portion of right coronary artery	CVD		
291	a14015031000006119	2	Myocardial infarction due to demand ischaemia	CVD		
292	a7789771000006114	2	Non-obstructive atherosclerosis of coronary artery	CVD		
293	a3024781000006112	2	"Past myocardial infarction diagnosed on ECG AND/OR other special investigation, but currently presenting no symptoms"	CVD		
294	a5056331000006111	2	Acute Q wave infarction - inferolateral	CVD		
295	a3458791000006114	2	Anginal chest pain at rest	CVD		
296	a3576371000006117	2	Postmyocardial infarction syndrome	CVD		
297	a7574481000006111	2	Subsequent non-ST segment elevation myocardial infarction	CVD		
298	a13961371000006114	1	Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery	CVD		
299	a7696501000006114	1	Resting ischaemia	CVD		
300	a13941231000006112	1	Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion	CVD		
301	a13941161000006110	1	Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion	CVD		
302	a3920001000006119	1	Variant angina pectoris	CVD		
303	a7855741000006112	1	Atherosclerosis of autologous coronary artery bypass graft	CVD		
304	a4056701000006114	1	Atrial septal aneurysm	CVD		
305	a14015311000006110	1	Coronary artery disease due to type 2 diabetes mellitus	CVD		
306	a5056471000006118	1	Accelerated coronary artery disease in transplanted heart	CVD		
307	a13961461000006113	1	Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery	CVD		
308	a6847761000006118	1	Chronic ischemic heart disease	CVD		
309	a3551171000006114	1	Acute myocardial infarction of high lateral wall	CVD		
310	a7574041000006111	1	Mitral valve regurgitation due to acute myocardial infarction	CVD		
311	a5837001000006115	1	Left ventricular wall aneurysmal	CVD		
312	a7572221000006117	1	Subsequent ST segment elevation myocardial infarction of inferior wall	CVD		
313	a12125951000006116	1	Arteriosclerosis of autologous vein coronary artery bypass graft with angina	CVD		
314	a3459561000006119	1	Acute myocardial infarction of apical-lateral wall	CVD		
315	a5056311000006117	1	Acute Q wave infarction - inferior	CVD		
316	a6360421000006114	1	Recurrent angina after coronary stent placement	CVD		
317	a6601131000006115	1	CT - Coronary thrombosis	CVD		
318	a5056261000006112	1	Asymptomatic ischaemia	CVD		
319	a7100421000006116	1	Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty	CVD		
320	a3427201000006111	1	AMI - Acute myocardial infarction	CVD		
321	a7571611000006117	1	Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle	CVD		
322	a7278491000006111	1	Atherosclerosis of coronary artery	CVD		
323	a7106991000006111	1	Coronary arteriosclerosis of coronary artery bypass graft	CVD		
324	a5887641000006118	1	Angina of effort	CVD		
325	a13935161000006114	1	Acute myocardial infarction of right ventricle	CVD		
326	a6360441000006119	1	Recurrent angina after coronary artery bypass graft	CVD		
327	a9844051000006118	1	Acute ST segment elevation myocardial infarction due to right coronary artery occlusion	CVD		
328	a13941211000006118	1	Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion	CVD		
329	a4775981000006112	1	Cardiac angina	CVD		
330	a9843991000006114	1	Acute ST segment elevation myocardial infarction of anteroseptal wall	CVD		
331	a3191111000006116	1	Congenital coronary artery sclerosis	CVD		
332	a6360401000006116	1	Recurrent angina after percutaneous transluminal coronary angioplasty	CVD		
333	a13947721000006111	1	Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery	CVD		
334	a5837011000006117	1	LVA - Left ventricular aneurysm	CVD		
335	a13961451000006111	1	Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion	CVD		
336	a139475013	800000	Heart failure	CVD		
337	a70653017	700000	Congestive heart failure	CVD		
338	a141306010	700000	Left ventricular failure	CVD		
339	a493287011	500000	Congestive cardiac failure	CVD		
340	a216207010	200000	Left ventricular systolic dysfunction	CVD		
341	a2159197017	200000	Echocardiogram shows left ventricular systolic dysfunction	CVD		
342	a784191000006110	100000	Impaired left ventricular function	CVD		
343	a1484918019	100000	Heart failure annual review	CVD		
344	a2616471011	80000	New York Heart Association Classification - Class II	CVD		
345	a216246012	60000	Referral to heart failure clinic	CVD		
346	a407061000000112	60000	Heart failure monitoring first letter	CVD		
347	a1488591011	50000	Suspected heart failure	CVD		
348	a404741000000119	50000	Heart failure 6 month review	CVD		
349	a411506018	50000	Impaired left ventricular function	CVD		
350	a395772015	40000	Heart failure NOS	CVD		
351	a2616470012	40000	New York Heart Association Classification - Class I	CVD		
352	a2616472016	40000	New York Heart Association Classification - Class III	CVD		
353	a1484917012	30000	Heart failure follow-up	CVD		
354	a139482012	30000	Cardiac failure	CVD		
355	a308261000000111	30000	Heart failure review completed	CVD		
356	a216184014	30000	Congestive heart failure monitoring	CVD		
357	a510016018	20000	Biventricular congestive heart failure	CVD		
358	a300179017	20000	Decompensated cardiac failure	CVD		
359	a1488804017	20000	Heart failure confirmed	CVD		
360	a1561941000006119	20000	Excepted from heart failure quality indicators - patient unsuitable	CVD		
361	a132655012	20000	Chronic cor pulmonale	CVD		
362	a147247018	20000	Chronic congestive heart failure	CVD		
363	a206703015	20000	Right heart failure	CVD		
364	a1484901018	20000	Heart failure screen	CVD		
365	a2645623019	20000	Heart failure education	CVD		
366	a407081000000115	20000	Heart failure monitoring second letter	CVD		
367	a82584011	10000	Acute cor pulmonale	CVD		
368	a1647701000000118	10000	Heart failure with normal ejection fraction	CVD		
369	a308301000000118	10000	Discussion about heart failure care plan	CVD		
370	a300190010	10000	Acute left ventricular failure	CVD		
371	a3886041000006118	10000	Left heart failure	CVD		
372	a1561951000006117	9000	Excepted from heart failure quality indicators - informed dissent	CVD		
373	a1746171000000119	9000	Has heart failure management plan	CVD		
374	a1490256017	9000	Acute pulmonary oedema	CVD		
375	a251680018	8000	H/O: heart failure	CVD		
376	a308231000000118	8000	Heart failure monitoring administration	CVD		
377	a2227501000000110	8000	Heart failure with preserved ejection fraction	CVD		
378	a7484711000006114	7000	Heart failure medication review	CVD		
379	a18472010	7000	Acute congestive heart failure	CVD		
380	a407101000000114	5000	Heart failure monitoring third letter	CVD		
381	a299851018	4000	Other chronic pulmonary heart disease	CVD		
382	a1488629013	4000	Heart failure excluded	CVD		
383	a301741013	4000	Acute pulmonary oedema unspecified	CVD		
384	a94251011	4000	Acute heart failure	CVD		
385	a406801000000118	4000	Heart failure monitoring telephone invitation	CVD		
386	a1816101000006113	3000	Right ventricular failure	CVD		
387	a301743011	3000	Acute pulmonary oedema NOS	CVD		
388	a490972013	3000	Right ventricular failure	CVD		
389	a2117931000000116	3000	Heart failure self-management plan agreed	CVD		
390	a1769091000006112	3000	Fast track heart failure referral for transthoracic two dimensional echocardiogram	CVD		
391	a8214751000006115	3000	Heart failure monitoring invitation	CVD		
392	a2122191000000110	3000	Education about deteriorating heart failure	CVD		
393	a2616473014	3000	New York Heart Association Classification - Class IV	CVD		
394	a1165041000000115	3000	Heart failure resolved	CVD		
395	a395756011	2000	Chronic pulmonary heart disease NOS	CVD		
396	a7025691000006110	2000	Decompensated chronic heart failure	CVD		
397	a223981000000118	2000	Cardiac failure NOS	CVD		
398	a308011000000119	2000	Provision of information about heart failure	CVD		
399	a12626351000006111	1000	QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation	CVD		
400	a407041000000111	1000	Heart failure monitoring verbal invitation	CVD		
401	a300180019	1000	Compensated cardiac failure	CVD		
402	a7573171000006116	1000	Heart failure with reduced ejection fraction	CVD		
403	a145620019	1000	Chronic pulmonary heart disease	CVD		
404	a8303561000006119	1000	Heart failure monitoring	CVD		
405	a2115781000000114	1000	Heart failure self-management plan review	CVD		
406	a2675255018	900	Congestive heart failure due to valvular disease	CVD		
407	a1856361000006116	900	Heart failure monitoring in primary care	CVD		
408	a317955011	900	Cardiorespiratory failure	CVD		
409	a316833010	900	Congenital cardiac failure	CVD		
410	a3182541000006117	900	Congestive cardiac failure	CVD		
411	a1959121000006111	800	Heart Age study: Failed to respond to first telephone invitation	CVD		
412	a453099015	800	H/O: Heart failure in last year	CVD		
413	a2549208013	800	Emergency hospital admission for heart failure	CVD		
414	a3182551000006115	800	CCF - Congestive cardiac failure	CVD		
415	a2205951000000117	800	Heart failure clinical pathway	CVD		
416	a7321121000006119	600	Heart failure with preserved ejection fraction	CVD		
417	a1495417010	600	Cardiac asthma	CVD		
418	a1539481000006114	600	Heart failure monitoring - specialist clinical needs	CVD		
419	a504901000006118	500	Benign hypertensive heart disease with congestive cardiac failure	CVD		
420	a1661371000000112	500	HFNEF - heart failure with normal ejection fraction	CVD		
421	a1959131000006114	300	Heart Age study: Failed to respond to second telephone invitation	CVD		
422	a72934016	300	Rheumatic left ventricular failure	CVD		
423	a1539521000006114	200	Heart failure monitoring - co-medications	CVD		
424	a7251291000006119	100	Chronic diastolic heart failure	CVD		
425	a3855401000006112	100	Cor pulmonale	CVD		
426	a139481017	100	Weak heart	CVD		
427	a2664351000006113	100	Chronic right-sided heart failure	CVD		
428	a1728531000006116	100	Heart failure resolved	CVD		
429	a1856371000006111	100	Heart failure monitoring in secondary care	CVD		
430	a13910671000006110	100	Heart failure with mid range ejection fraction	CVD		
431	a1539541000006119	90	Heart failure monitoring - palliative care	CVD		
432	a350484012	80	Heart failure as a complication of care	CVD		
433	a3283871000006117	80	Chronic heart failure	CVD		
434	a728681000006116	80	Malignant hypertensive heart disease without congestive heart failure	CVD		
435	a1959141000006116	80	Heart Age study: Failed to respond to third telephone invitation	CVD		
