	MedCodeId	Observations	Term	stroke			
59	a1229954013	20000	"Cerebral aneurysm, nonruptured"	stroke			
60	a95931000006111	10000	Transient cerebral ischaemia NOS	stroke			
61	a300298011	10000	Intracranial haemorrhage	stroke			
62	a884531000006117	10000	Stroke	stroke			
63	a95931000006111	10000	Transient cerebral ischaemia NOS	stroke			
64	a218511000000117	10000	Infarction - cerebral	stroke			
65	a300419019	10000	Cerebrovascular disease NOS	stroke			
66	a218511000000117	10000	Infarction - cerebral	stroke			
67	a395778016	10000	Carotid artery occlusion	stroke			
68	a399031000006111	9000	[X]Multi-infarct dementia	stroke			
69	a398571000006112	9000	Mixed cortical and subcortical vascular dementia	stroke			
70	a399031000006111	9000	[X]Multi-infarct dementia	stroke			
71	a502878012	9000	Cerebellar haemorrhage	stroke			
72	a299342019	9000	Lacunar infarction	stroke			
73	a299342019	9000	Lacunar infarction	stroke			
74	a502878012	9000	Cerebellar haemorrhage	stroke			
75	a2126181000000114	8000	Stroke annual review	stroke			
76	a2474651019	7000	Infarction of basal ganglia	stroke			
77	a300349016	7000	Transient cerebral ischaemia NOS	stroke			
78	a2474651019	7000	Infarction of basal ganglia	stroke			
79	a524511000006116	7000	Brainstem stroke syndrome	stroke			
80	a300366019	7000	Cerebellar stroke syndrome	stroke			
81	a300349016	7000	Transient cerebral ischaemia NOS	stroke			
82	a524511000006116	7000	Brainstem stroke syndrome	stroke			
83	a300366019	7000	Cerebellar stroke syndrome	stroke			
84	a3414251000006112	6000	VAD - Vascular dementia	stroke			
85	a300362017	6000	Middle cerebral artery syndrome	stroke			
86	a125470015	6000	Cerebral embolism	stroke			
87	a106394016	6000	Vertebrobasilar insufficiency	stroke			
88	a363791000006112	6000	[X]Arteriosclerotic dementia	stroke			
89	a300294013	6000	Subdural haemorrhage - nontraumatic	stroke			
90	a3414251000006112	6000	VAD - Vascular dementia	stroke			
91	a363791000006112	6000	[X]Arteriosclerotic dementia	stroke			
92	a106394016	6000	Vertebrobasilar insufficiency	stroke			
93	a300362017	6000	Middle cerebral artery syndrome	stroke			
94	a125470015	6000	Cerebral embolism	stroke			
95	a92070010	5000	Cerebral atherosclerosis	stroke			
96	a360778011	5000	Chronic cerebral ischaemia	stroke			
97	a4778181000006119	4000	Left sided cerebral hemisphere cerebrovascular accident	stroke			
98	a4778181000006119	4000	Left sided cerebral hemisphere cerebrovascular accident	stroke			
99	a524541000006117	4000	Brain stem infarction	stroke			
100	a543141000006110	4000	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	stroke			
101	a1160471000000111	4000	Stroke 6 month review	stroke			
102	a7519441000006112	4000	Cerebrovascular accident annual review	stroke			
103	a391028016	4000	Traumatic extradural haematoma	stroke			
104	a300287010	4000	Intracerebral haemorrhage NOS	stroke			
105	a345701012	4000	Cerebral amyloid angiopathy	stroke			
106	a300287010	4000	Intracerebral haemorrhage NOS	stroke			
107	a543141000006110	4000	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	stroke			
108	a524541000006117	4000	Brain stem infarction	stroke			
109	a300364016	3000	Posterior cerebral artery syndrome	stroke			
110	a300364016	3000	Posterior cerebral artery syndrome	stroke			
111	a4778201000006118	3000	Right sided cerebral hemisphere cerebrovascular accident	stroke			
112	a100721000006111	3000	Cerebral venous sinus thrombosis	stroke			
113	a586241000006116	3000	Non-pyogenic venous sinus thrombosis	stroke			
114	a320836010	3000	Subdural haemorrhage following injury	stroke			
115	a4778201000006118	3000	Right sided cerebral hemisphere cerebrovascular accident	stroke			
116	a320835014	3000	Traumatic subdural haemorrhage	stroke			
117	a300321011	3000	Cerebral infarction due to thrombosis of cerebral arteries	stroke			
118	a499739014	3000	Insufficiency - basilar artery	stroke			
119	a300277011	3000	"Intracerebral haemorrhage, intraventricular"	stroke			
120	a300321011	3000	Cerebral infarction due to thrombosis of cerebral arteries	stroke			
121	a505322013	3000	Cerebral haemorrhage following injury	stroke			
122	a300257016	3000	Subarachnoid haemorrhage NOS	stroke			
123	a300277011	3000	"Intracerebral haemorrhage, intraventricular"	stroke			
124	a320752018	3000	Closed traumatic subdural haemorrhage	stroke			
125	a499739014	3000	Insufficiency - basilar artery	stroke			
126	a294656010	2000	Arteriosclerotic dementia NOS	stroke			
127	a106392017	2000	Basilar artery syndrome	stroke			
128	a106392017	2000	Basilar artery syndrome	stroke			
129	a300363010	2000	Anterior cerebral artery syndrome	stroke			
130	a25897016	2000	Subclavian steal syndrome	stroke			
131	a300363010	2000	Anterior cerebral artery syndrome	stroke			
132	a2118011000000114	2000	Stroke self-management plan agreed	stroke			
133	a25897016	2000	Subclavian steal syndrome	stroke			
134	a300312010	2000	Cerebral infarct due to thrombosis of precerebral arteries	stroke			
135	a503791000006114	2000	Basal ganglia haemorrhage	stroke			
136	a841051000006113	2000	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	stroke			
137	a300312010	2000	Cerebral infarct due to thrombosis of precerebral arteries	stroke			
138	a503791000006114	2000	Basal ganglia haemorrhage	stroke			
139	a294656010	2000	Arteriosclerotic dementia NOS	stroke			
140	a345655015	2000	Pure motor lacunar syndrome	stroke			
141	a395777014	2000	Precerebral arterial occlusion	stroke			
142	a800691000006113	2000	Diffuse cerebrovascular disease	stroke			
143	a503469016	2000	Pontine haemorrhage	stroke			
144	a345655015	2000	Pure motor lacunar syndrome	stroke			
145	a67501000006115	2000	Vertebrobasilar artery syndrome	stroke			
146	a67501000006115	2000	Vertebrobasilar artery syndrome	stroke			
147	a123511000006114	2000	Subarachnoid haemorrhage from middle cerebral artery	stroke			
148	a300374018	2000	Other cerebrovascular disease	stroke			
149	a501622012	2000	Perinatal intraventricular haemorrhage	stroke			
150	a503469016	2000	Pontine haemorrhage	stroke			
151	a300941014	2000	[X]Other cerebral infarction	stroke			
152	a300941014	2000	[X]Other cerebral infarction	stroke			
153	a345710016	2000	Vertebral artery dissection	stroke			
154	a300322016	1000	Cerebral infarction due to embolism of cerebral arteries	stroke			
155	a371641000000112	1000	Delivery of rehabilitation for stroke	stroke			
156	a416991000006112	1000	Transient cerebral ischemia	stroke			
157	a325051016	1000	Cerebral anoxia complication	stroke			
158	a300309012	1000	Vertebral artery occlusion	stroke			
159	a300242011	1000	Ruptured berry aneurysm	stroke			
160	a402929011	1000	Subarachnoid haemorrhage following injury without open intracranial wound	stroke			
161	a123481000006118	1000	Subarachnoid haemorrhage from anterior communicating artery	stroke			
162	a300348012	1000	Other transient cerebral ischaemia	stroke			
163	a660121000006113	1000	Traumatic intracranial haemorrhage	stroke			
164	a416991000006112	1000	Transient cerebral ischemia	stroke			
165	a300313017	1000	Cerebral infarction due to embolism of precerebral arteries	stroke			
166	a402930018	1000	Extradural haemorrhage following injury without open intracranial wound	stroke			
167	a496232015	1000	Internal capsule haemorrhage	stroke			
168	a300313017	1000	Cerebral infarction due to embolism of precerebral arteries	stroke			
169	a496232015	1000	Internal capsule haemorrhage	stroke			
170	a300348012	1000	Other transient cerebral ischaemia	stroke			
171	a300939013	1000	Cerebral haemorrhage	stroke			
172	a300943012	1000	Cerebral artery occlusion	stroke			
173	a748941000006115	1000	"Left sided intracerebral haemorrhage, unspecified"	stroke			
174	a114794013	1000	Moyamoya disease	stroke			
175	a884421000006119	1000	Cerebral haemorrhage	stroke			
176	a350804018	1000	Congenital cerebral arteriovenous malformation	stroke			
177	a296939018	1000	Thrombosis transverse sinus	stroke			
178	a748941000006115	1000	"Left sided intracerebral haemorrhage, unspecified"	stroke			
179	a884421000006119	1000	Cerebral haemorrhage	stroke			
180	a300939013	1000	Cerebral haemorrhage	stroke			
181	a300943012	1000	Cerebral artery occlusion	stroke			
182	a449935012	1000	Admission to stroke unit	stroke			
183	a884441000006114	1000	Subdural haemorrhage	stroke			
184	a296940016	1000	Thrombosis of central nervous system venous sinus NOS	stroke			
185	a300290016	1000	Other and unspecified intracranial haemorrhage	stroke			
186	a300322016	1000	Cerebral infarction due to embolism of cerebral arteries	stroke			
187	a345650013	900	Brainstem infarction NOS	stroke			
188	a542261000006114	900	Cerebral infarction due to occlusion of precerebral artery	stroke			
189	a2115821000000118	900	Stroke self-management plan review	stroke			
190	a345650013	900	Brainstem infarction NOS	stroke			
191	a542261000006114	900	Cerebral infarction due to occlusion of precerebral artery	stroke			
192	a431691000006119	900	Vascular dementia of acute onset	stroke			
193	a345684012	900	Carotid territory transient ischaemic attack	stroke			
194	a345684012	900	Carotid territory transient ischaemic attack	stroke			
195	a58046010	800	Vertebral artery syndrome	stroke			
196	a542251000006112	800	"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"	stroke			
197	a300379011	800	Generalised ischaemic cerebrovascular disease NOS	stroke			
198	a345675012	800	Lobar cerebral haemorrhage	stroke			
199	a100691000006118	800	Cerebral venous thrombosis of cavernous sinus	stroke			
200	a345675012	800	Lobar cerebral haemorrhage	stroke			
201	a660111000006117	800	Nontraumatic extradural haemorrhage	stroke			
202	a130375018	800	Lateral medullary syndrome	stroke			
203	a130375018	800	Lateral medullary syndrome	stroke			
204	a542251000006112	800	"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"	stroke			
205	a812561000006116	800	Haemangioma of intracranial structure	stroke			
206	a451371010	800	H/O: Stroke in last year	stroke			
207	a58046010	800	Vertebral artery syndrome	stroke			
208	a356251016	800	Pituitary apoplexy	stroke			
209	a163261000006119	800	"Right sided intracerebral haemorrhage, unspecified"	stroke			
210	a163261000006119	800	"Right sided intracerebral haemorrhage, unspecified"	stroke			
211	a417171000006111	700	[X]Other vascular syndroms/brain in cerebrovasculr diseases	stroke			
212	a928621000006111	700	"MELAS - Mitochondrial encephalopathy, lactic acidosis and stroke-like episodes"	stroke			
213	a300403014	700	Late effects of cerebrovascular disease	stroke			
214	a413750011	700	Central post-stroke pain	stroke			
215	a884471000006118	700	Carotid artery occluded	stroke			
216	a300303013	700	Basilar artery occlusion	stroke			
217	a486896012	700	Intracranial haematoma following injury	stroke			
218	a1235913017	700	Cerebral vein thrombosis	stroke			
219	a883081000006112	600	Benign intracranial hyperten.	stroke			
220	a538601000006110	600	Caroticocavernous sinus fistula	stroke			
221	a300353019	600	Intermittent cerebral ischaemia	stroke			
222	a3610821000006113	600	Idiopathic intracranial hypertension	stroke			
223	a300353019	600	Intermittent cerebral ischaemia	stroke			
224	a123521000006118	600	Subarachnoid haemorrhage from posterior communicating artery	stroke			
225	a345658018	600	Pure sensory lacunar syndrome	stroke			
226	a345658018	600	Pure sensory lacunar syndrome	stroke			
227	a966981000006112	600	Referral to multidisciplinary stroke function improvement service	stroke			
228	a300314011	600	Precerebral artery occlusion NOS	stroke			
229	a505324014	600	Traumatic cerebral haemorrhage	stroke			
230	a5263018	600	Congenital cerebral arteriovenous aneurysm	stroke			
231	a300389010	600	Nonruptured cerebral aneurysm due to dissection of cerebral artery	stroke			
232	a300395011	500	Occlusion and stenosis of middle cerebral artery	stroke			
233	a300418010	500	Other specified cerebrovascular disease	stroke			
234	a47484015	500	Cerebral arteritis	stroke			
235	a2262511000000116	500	Reversible cerebral vasoconstriction syndrome	stroke			
236	a300344014	500	Carotid artery syndrome hemispheric	stroke			
237	a123441000006112	500	"Subarachnoid haemorrh from intracranial artery, unspecif"	stroke			
238	a300344014	500	Carotid artery syndrome hemispheric	stroke			
239	a495394013	500	Cortical haemorrhage	stroke			
240	a495394013	500	Cortical haemorrhage	stroke			
241	a316516014	400	Intraventricular haemorrhage due to birth injury	stroke			
242	a767651000006116	400	"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn"	stroke			
243	a744921000006116	400	"Intracerebral haemorrhage in hemisphere, unspecified"	stroke			
244	a300956017	400	"[X]Intracerebral haemorrhage in hemisphere, unspecified"	stroke			
245	a744921000006116	400	"Intracerebral haemorrhage in hemisphere, unspecified"	stroke			
246	a4056981000006115	400	Cerebral venous thrombosis	stroke			
247	a300956017	400	"[X]Intracerebral haemorrhage in hemisphere, unspecified"	stroke			
248	a1212072018	400	Occlusive stroke	stroke			
249	a459511018	400	Traumatic subdural haematoma without open intracranial wound	stroke			
250	a5011741000006115	400	Dissection of vertebral artery	stroke			
251	a100701000006118	400	Thrombosis lateral sinus	stroke			
252	a5011131000006112	400	Posterior cerebral circulation infarction	stroke			
253	a123491000006115	400	Subarachnoid haemorrhage from basilar artery	stroke			
254	a8044481000006118	400	Ischaemic stroke without coma	stroke			
255	a8044481000006118	400	Ischaemic stroke without coma	stroke			
256	a213421000006113	400	Precerebral atherosclerosis	stroke			
257	a149347010	400	Binswanger's disease	stroke			
258	a149347010	400	Binswanger's disease	stroke			
259	a5060581000006110	400	Cerebral arteriovenous malformation	stroke			
260	a5011091000006110	400	Partial anterior cerebral circulation infarction	stroke			
261	a5011131000006112	400	Posterior cerebral circulation infarction	stroke			
262	a5011091000006110	400	Partial anterior cerebral circulation infarction	stroke			
263	a149571000006118	400	"Sequelae of stroke,not specfd as h'morrhage or infarction"	stroke			
264	a512234017	400	Cerebral lupus	stroke			
265	a296931015	400	Phlebitis and thrombophlebitis of intracranial sinuses	stroke			
266	a1212072018	400	Occlusive stroke	stroke			
267	a5459271000006119	400	Traumatic intracranial subarachnoid haemorrhage	stroke			
268	a13796131000006110	300	Subarachnoid haemorrhage due to traumatic injury	stroke			
269	a12223101000006118	300	Intracerebral haemorrhage	stroke			
270	a4056871000006112	300	Subdural haematoma	stroke			
271	a300402016	300	Other cerebrovascular disease NOS	stroke			
272	a542831000006116	300	Cerebral embolus	stroke			
273	a8453031000006117	300	Haemorrhagic stroke	stroke			
274	a8453031000006117	300	Haemorrhagic stroke	stroke			
275	a370701000006118	300	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	stroke			
276	a320852013	300	Cerebral haemorrhage following injury NOS	stroke			
277	a57341000006119	300	Wallenberg's syndrome	stroke			
278	a505381016	300	Epidural haemorrhage	stroke			
279	a4411861000006113	300	Cerebral arterial aneurysm	stroke			
280	a884551000006112	300	Cerebral aneurysm-non ruptured	stroke			
281	a370701000006118	300	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	stroke			
282	a423221000006117	300	[X]Predominantly cortical dementia	stroke			
283	a423221000006117	300	[X]Predominantly cortical dementia	stroke			
284	a5492171000006112	300	TIA	stroke			
285	a647051000006114	300	Epidural haematoma following injury	stroke			
286	a300411016	300	Sequelae of cerebral infarction	stroke			
287	a5492171000006112	300	TIA	stroke			
288	a2476647018	300	Vertebral artery compression syndrome	stroke			
289	a2476647018	300	Vertebral artery compression syndrome	stroke			
290	a542831000006116	300	Cerebral embolus	stroke			
291	a57341000006119	300	Wallenberg's syndrome	stroke			
292	a12223101000006118	300	Intracerebral haemorrhage	stroke			
293	a884541000006110	300	Cerebral arteriosclerosis	stroke			
294	a300936018	300	[X]Other subarachnoid haemorrhage	stroke			
295	a5582311000006110	300	Occipital cerebral infarction	stroke			
296	a5582311000006110	300	Occipital cerebral infarction	stroke			
297	a313568013	200	Cerebrovascular system anomalies	stroke			
298	a5011051000006116	200	Total anterior cerebral circulation infarction	stroke			
299	a5011051000006116	200	Total anterior cerebral circulation infarction	stroke			
300	a316149014	200	Cerebral haematoma in fetus or newborn	stroke			
301	a316818019	200	Neonatal cerebral ischaemia	stroke			
302	a300380014	200	Acute cerebrovascular insufficiency	stroke			
303	a370711000006115	200	[X]Cerebrovascular diseases	stroke			
304	a300401011	200	Other cerebrovascular disease OS	stroke			
305	a370661000006114	200	[X]Cereb infarct due unsp occlus/stenos precerebr arteries	stroke			
306	a9912271000006112	200	Cerebellar stroke	stroke			
307	a884451000006111	200	Cerebral haemorrhage NOS	stroke			
308	a2549322011	200	Vein of Galen malformation	stroke			
309	a884561000006114	200	Cerebrovasc. dis. late effects	stroke			
310	a320853015	200	Other cerebral haemorrhage following injury	stroke			
311	a9912271000006112	200	Cerebellar stroke	stroke			
312	a370661000006114	200	[X]Cereb infarct due unsp occlus/stenos precerebr arteries	stroke			
313	a325050015	200	Anoxic brain damage complication	stroke			
314	a2267791000000116	200	Susac's syndrome	stroke			
315	a769281000006119	200	Intracranial haemorrhage in fetus or newborn	stroke			
316	a6990981000006114	200	Ischaemic stroke	stroke			
317	a6990981000006114	200	Ischaemic stroke	stroke			
318	a767641000006118	200	"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn"	stroke			
319	a5011491000006115	200	Anterior circulation transient ischaemic attack	stroke			
320	a5011491000006115	200	Anterior circulation transient ischaemic attack	stroke			
321	a767661000006119	200	"Intraventricular (nontraumatic) hemorrhage, grade 3, of fetus and newborn"	stroke			
322	a500972019	200	Pseudotumour cerebri	stroke			
323	a5583061000006119	100	Subarachnoid haemorrhage from anterior communicating artery aneurysm	stroke			
324	a5011411000006113	100	Thalamic haemorrhage	stroke			
325	a5967391000006111	100	Multiple lacunar infarcts	stroke			
326	a5492221000006118	100	Transient ischemic attack	stroke			
327	a5492221000006118	100	Transient ischemic attack	stroke			
328	a5011471000006116	100	Posterior circulation stroke of uncertain pathology	stroke			
329	a5011471000006116	100	Posterior circulation stroke of uncertain pathology	stroke			
330	a313576010	100	Other specified cerebrovascular anomaly	stroke			
331	a300399017	100	Occlusion and stenosis of cerebellar arteries	stroke			
332	a5011411000006113	100	Thalamic haemorrhage	stroke			
333	a300311015	100	Other precerebral artery occlusion	stroke			
334	a231561000006110	100	Phlebitis or thrombophlebitis of CNS venous sinus NOS	stroke			
335	a884431000006116	100	Extradural haemorrhage	stroke			
336	a6348301000006119	100	Embolic stroke	stroke			
337	a3610811000006117	100	IIH - Idiopathic intracranial hypertension	stroke			
338	a63408013	100	Locked in syndrome	stroke			
339	a6348301000006119	100	Embolic stroke	stroke			
340	a300352012	100	Impending cerebral ischaemia	stroke			
341	a437650013	100	Vertebral artery aneurysm	stroke			
342	a300276019	100	External capsule haemorrhage	stroke			
343	a5967391000006111	100	Multiple lacunar infarcts	stroke			
344	a359985011	100	Intracerebral haemorrhage in foetus or newborn	stroke			
345	a884481000006115	100	Vertebral artery occluded	stroke			
346	a300398013	100	Occlusion and stenosis of posterior cerebral artery	stroke			
347	a350815011	100	Congenital arteriovenous fistula of brain	stroke			
348	a149701000006118	100	Sequelae/other + unspecified cerebrovascular diseases	stroke			
349	a390713015	100	Injury of vertebral artery	stroke			
350	a746571000006116	100	"Intracerebral haemorrhage, multiple localized"	stroke			
351	a428181000006115	100	Subarachnoid hemorrhage	stroke			
352	a746571000006116	100	"Intracerebral haemorrhage, multiple localized"	stroke			
353	a7054171000006115	100	Acute lacunar infarction	stroke			
354	a300276019	100	External capsule haemorrhage	stroke			
355	a7054171000006115	100	Acute lacunar infarction	stroke			
356	a300352012	100	Impending cerebral ischaemia	stroke			
357	a5011191000006111	90	Pure motor lacunar infarction	stroke			
358	a7285511000006116	90	Cerebral small vessel disease	stroke			
359	a300407010	90	Sequelae of intracerebral haemorrhage	stroke			
360	a316141012	90	Local subdural haematoma due to birth trauma	stroke			
361	a1870501000006114	90	Cerebral amyloidosis	stroke			
362	a307781012	90	Cerebral venous thrombosis in pregnancy	stroke			
363	a84583018	90	Sinus pericranii	stroke			
364	a296947018	90	Thrombophlebitis of central nervous system venous sinuses	stroke			
365	a12370651000006112	90	MVAD - Mixed vascular Alzheimer dementia	stroke			
366	a5011191000006111	90	Pure motor lacunar infarction	stroke			
367	a300935019	90	[X]Subarachnoid haemorrhage from other intracranial arteries	stroke			
368	a459514014	90	Traumatic subdural haematoma with open intracranial wound	stroke			
369	a4411871000006118	80	Intracranial aneurysm	stroke			
370	a605481000006110	80	CVA - cerebrovascular accident in the puerperium	stroke			
371	a345639010	80	Infarction - precerebral	stroke			
372	a345639010	80	Infarction - precerebral	stroke			
373	a300406018	80	Sequelae of subarachnoid haemorrhage	stroke			
374	a605481000006110	80	CVA - cerebrovascular accident in the puerperium	stroke			
375	a86021000006119	80	Traumatic extradural haematoma without open intracranial wound	stroke			
376	a5011291000006119	80	Haemorrhagic cerebral infarction	stroke			
377	a5011291000006119	80	Haemorrhagic cerebral infarction	stroke			
378	a5011461000006111	70	Anterior circulation stroke of uncertain pathology	stroke			
379	a5583021000006113	70	Subarachnoid haemorrhage from middle cerebral artery aneurysm	stroke			
380	a426321000006116	70	"[X]Sequelae of stroke,not specfd as h'morrhage or infarction"	stroke			
381	a316130010	70	Subdural and cerebral haemorrhage due to birth trauma	stroke			
382	a5518041000006112	70	Spontaneous subarachnoid haemorrhage	stroke			
383	a5011161000006115	70	Lacunar stroke	stroke			
384	a5011161000006115	70	Lacunar stroke	stroke			
385	a5011461000006111	70	Anterior circulation stroke of uncertain pathology	stroke			
386	a3515794015	70	Acute cerebral ischaemia	stroke			
387	a296938014	70	Thrombosis of superior longitudinal sinus	stroke			
388	a3515794015	70	Acute cerebral ischaemia	stroke			
389	a316153011	70	Cerebral haemorrhage due to birth injury	stroke			
390	a5011041000006118	70	Anterior cerebral circulation infarction	stroke			
391	a5011041000006118	70	Anterior cerebral circulation infarction	stroke			
392	a1988841000006112	60	"Intraventricular (nontraumatic) haemorrhage, grade 4, of fetus and newborn"	stroke			
393	a4777881000006112	60	"Intracerebral haemorrhage, multiple localised"	stroke			
394	a1842021000006111	60	Neonatal cerebral haemorrhage	stroke			
395	a307780013	60	Obstetric cerebral venous thrombosis	stroke			
396	a300253017	60	Subarachnoid haemorrhage from vertebral artery	stroke			
397	a158442019	60	Systemic lupus erythematosus encephalitis	stroke			
398	a4777881000006112	60	"Intracerebral haemorrhage, multiple localised"	stroke			
399	a4056881000006110	60	Subdural hematoma	stroke			
400	a300396012	60	Occlusion and stenosis of anterior cerebral artery	stroke			
401	a307782017	60	Cerebral venous thrombosis in the puerperium	stroke			
402	a884461000006113	60	Basilar artery occluded	stroke			
403	a75861010	50	Cerebrovascular amyloidosis	stroke			
404	a316553015	50	Intracranial nontraumatic haemorrhage of fetus and newborn	stroke			
405	a35801000006116	50	Other cerebral h'ge after injury no open intracranial wound	stroke			
406	a5583081000006112	50	Subarachnoid haemorrhage from posterior communicating artery aneurysm	stroke			
407	a2267781000000118	50	Retinocochleocerebral vasculopathy	stroke			
408	a313569017	50	"Congenital anomaly of cerebral vessel, unspecified"	stroke			
409	a313577018	50	Cerebrovascular system anomaly NOS	stroke			
410	a3193191000006110	50	Nonruptured cerebral aneurysm	stroke			
411	a5492201000006111	40	TIA - Transient ischaemic attack	stroke			
412	a296936013	40	Embolism central nervous system venous sinus NOS	stroke			
413	a300944018	40	[X]Other specified cerebrovascular diseases	stroke			
414	a12761901000006117	40	Subarachnoid hemorrhage	stroke			
415	a744871000006114	40	Intracranial nontraumatic haemorrhage of foetus and newborn	stroke			
416	a296951016	40	Thrombophlebitis of central nervous system venous sinus NOS	stroke			
417	a1235534016	40	Binswanger's encephalopathy	stroke			
418	a1235534016	40	Binswanger's encephalopathy	stroke			
419	a7378271000006116	40	Intracranial haemorrhage following injury	stroke			
420	a5934331000006110	40	Chronic intracranial subdural haematoma	stroke			
421	a5011141000006119	40	Posterior cerebral circulation stroke	stroke			
422	a316151013	40	Extradural haemorrhage in foetus or newborn	stroke			
423	a320735017	40	Subarachnoid haemorrhage following injury with open intracranial wound	stroke			
424	a394431000006118	40	Intracranial nontraumatic haemorrhage of foetus and newborn	stroke			
425	a296949015	40	Thrombophlebitis of superior longitudinal venous sinus	stroke			
426	a7071901000006111	40	Thalamic infarction	stroke			
427	a5492201000006111	40	TIA - Transient ischaemic attack	stroke			
428	a5011141000006119	40	Posterior cerebral circulation stroke	stroke			
429	a287283010	40	Rupture of syphilitic cerebral aneurysm	stroke			
430	a267321000006114	40	"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"	stroke			
431	a12223121000006111	40	ICH - intracerebral haemorrhage	stroke			
432	a296932010	40	Embolism cavernous sinus	stroke			
433	a12223121000006111	40	ICH - intracerebral haemorrhage	stroke			
434	a6846141000006118	40	Cardioembolic stroke	stroke			
435	a6846141000006118	40	Cardioembolic stroke	stroke			
436	a300244012	40	Subarachnoid haemorrhage from carotid siphon and bifurcation	stroke			
437	a5011121000006114	30	PACS - Partial anterior cerebral circulation stroke	stroke			
438	a6990991000006112	30	Ischemic stroke	stroke			
439	a13909901000006119	30	Cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage	stroke			
440	a6990991000006112	30	Ischemic stroke	stroke			
441	a5011121000006114	30	PACS - Partial anterior cerebral circulation stroke	stroke			
442	a7085871000006117	30	Extradural intracranial haematoma	stroke			
