	MedCodeId	Observations	Term	thyroid_disease
58	a316625012	50	Neonatal jaundice with congenital hypothyroidism	thyroid_disease
59	a3508461000006113	8	Hyperthyroidism secondary to amiodarone	thyroid_disease
60	a3508471000006118	1	Amiodarone-induced thyrotoxicosis	thyroid_disease
61	a3513939016	2	Hyperthyroidism in pregnancy	thyroid_disease
62	a355957018	90	Congenital hypothyroidism without goitre	thyroid_disease
63	a355957018	90	Congenital hypothyroidism without goitre	thyroid_disease
64	a355987012	70	Chronic thyroiditis with transient thyrotoxicosis	thyroid_disease
65	a355987012	70	Chronic thyroiditis with transient thyrotoxicosis	thyroid_disease
66	a355987012	70	Chronic thyroiditis with transient thyrotoxicosis	thyroid_disease
67	a3700961000006117	8	Thyrotoxicosis with toxic single thyroid nodule	thyroid_disease
68	a3843671000006116	900	Secondary hypothyroidism	thyroid_disease
69	a3918261000006117	2	Hyperthyroidism due to ectopic thyroid nodule	thyroid_disease
70	a3918281000006110	1	Thyrotoxicosis from ectopic thyroid tissue	thyroid_disease
71	a398782015	700	Thyrotoxicosis of other specified origin	thyroid_disease
72	a398783013	2000	Congenital hypothyroidism NOS	thyroid_disease
73	a398783013	2000	Congenital hypothyroidism NOS	thyroid_disease
74	a398784019	500000	Hypothyroidism NOS	thyroid_disease
75	a406721000000115	6000	Hypothyroidism monitoring telephone invitation	thyroid_disease
76	a413721000006119	500	[X]Other sp cified hypothyroidism	thyroid_disease
77	a415432015	60	Congenital hypothyroidism with diffuse goitre	thyroid_disease
78	a415432015	60	Congenital hypothyroidism with diffuse goitre	thyroid_disease
79	a4197341000006114	6	Primary hypothyroidism	thyroid_disease
80	a507481016	200	Thyrotoxicosis from ectopic thyroid nodule	thyroid_disease
81	a5108031000006113	200	Thyrotoxicosis due to Graves' disease	thyroid_disease
82	a5108041000006115	4	Autoimmune thyrotoxicosis	thyroid_disease
83	a5108061000006116	2	Thyrotoxicosis due to acute thyroiditis	thyroid_disease
84	a5108061000006116	2	Thyrotoxicosis due to acute thyroiditis	thyroid_disease
85	a5108061000006116	2	Thyrotoxicosis due to acute thyroiditis	thyroid_disease
86	a5108071000006111	10	Borderline thyrotoxicosis	thyroid_disease
87	a5108121000006111	1	Gestational thyrotoxicosis	thyroid_disease
88	a5108191000006113	4	Thyrotoxicosis on thyroxine therapy	thyroid_disease
89	a5108191000006113	4	Thyrotoxicosis on thyroxine therapy	thyroid_disease
90	a5108351000006116	1000	Autoimmune hypothyroidism	thyroid_disease
91	a5108381000006112	10	Hypothyroidism with positive thyroid antibodies	thyroid_disease
92	a5108391000006110	80	Hypothyroidism due to Hashimoto's thyroiditis	thyroid_disease
93	a5108391000006110	80	Hypothyroidism due to Hashimoto's thyroiditis	thyroid_disease
94	a5108391000006110	80	Hypothyroidism due to Hashimoto's thyroiditis	thyroid_disease
95	a5108391000006110	80	Hypothyroidism due to Hashimoto's thyroiditis	thyroid_disease
96	a5108401000006112	1	Hypothyroidism due to Hashimoto thyroiditis	thyroid_disease
97	a5108401000006112	1	Hypothyroidism due to Hashimoto thyroiditis	thyroid_disease
98	a5108401000006112	1	Hypothyroidism due to Hashimoto thyroiditis	thyroid_disease
99	a5108411000006110	3	Hypothyroidism due to TSH receptor blocking antibody	thyroid_disease
100	a5108411000006110	3	Hypothyroidism due to TSH receptor blocking antibody	thyroid_disease
101	a5108431000006116	8	Borderline hypothyroidism	thyroid_disease
102	a5108441000006114	30	Compensated hypothyroidism	thyroid_disease
103	a5108491000006117	7	Post-infectious hypothyroidism	thyroid_disease
104	a5500041000006112	2	Thyrotoxicosis with diffuse goitre	thyroid_disease
105	a5581861000006113	1	Ophthalmic Graves disease	thyroid_disease
106	a5587171000006118	4	Transient neonatal hypothyroidism	thyroid_disease
107	a5720991000006112	30	Thyrotoxicosis with or without goitre	thyroid_disease
108	a5721011000006111	5	Hypothyroidism - congenital and acquired	thyroid_disease
109	a57561015	500000	Hyperthyroidism	thyroid_disease
110	a6196461000006114	100	Graves disease	thyroid_disease
111	a637341000000118	30000	Hypothyroidism annual review	thyroid_disease
112	a661271000006114	20	Factitia thyrotoxicosis	thyroid_disease
113	a68268011	3000000	Hypothyroidism	thyroid_disease
114	a6858301000006118	70	Hypothyroidism monitoring invitation	thyroid_disease
115	a7084321000006110	2	Hypothyroidism in pregnancy	thyroid_disease
116	a7096871000006113	200	Congenital hypothyroidism (CHT) not suspected	thyroid_disease
117	a7096871000006113	200	Congenital hypothyroidism (CHT) not suspected	thyroid_disease
118	a8026401000006116	6	Did not attend hyperthyroidism clinic	thyroid_disease
119	a8065681000006113	200	Hypothyroidism review	thyroid_disease
120	a8118651000006118	5	Hypothyroidism caused by drug	thyroid_disease
121	a8118661000006116	6	Drug-induced hypothyroidism	thyroid_disease
122	a881371000006111	4000	Thyrotoxicosis +/- goitre	thyroid_disease
123	a881381000006114	10000	Hypothyroidism-congen.+ acqui.	thyroid_disease
124	a881391000006112	70000	Acquired hypothyroidism NOS	thyroid_disease
125	a905741000006112	1000	[RFC] Hyperthyroidism	thyroid_disease
126	a91116012	200000	Subclinical hypothyroidism	thyroid_disease
127	a91116012	200000	Subclinical hypothyroidism	thyroid_disease
128	a933261000006110	400	Subclinical hypothyroidism	thyroid_disease
129	a933261000006110	400	Subclinical hypothyroidism	thyroid_disease
130	a9370014	20	Thyrotoxicosis factitia	thyroid_disease
131	a939981000006114	6000	Hypothyroidism medication review	thyroid_disease
132	a940091000006115	2	Hypothyroidism monitoring administration	thyroid_disease
133	a940101000006114	10000	Hypothyroidism monitoring invite 1	thyroid_disease
134	a940111000006112	2000	Hypothyroidism monitoring invite 2	thyroid_disease
135	a940121000006116	500	Hypothyroidism monitoring invite 3	thyroid_disease
136	a988821000006117	10	Subclinical hypothyroidism	thyroid_disease
137	a988821000006117	10	Subclinical hypothyroidism	thyroid_disease
138	a988831000006119	30	Acquired hypothyroidism NOS	thyroid_disease
139	a101171000006116	80000	Thyroid deficiency	thyroid_disease
140	a101581000006112	1000	Thyroid insufficiency	thyroid_disease
141	a196525014	10000	Toxic multinodular goitre	thyroid_disease
142	a200396013	2000	Toxic uninodular goitre	thyroid_disease
143	a208391000006113	700	Pretibial myxoedema - hypothyroid	thyroid_disease
144	a292327018	400	Toxic diffuse goitre with no crisis	thyroid_disease
145	a292330013	40	Toxic diffuse goitre with crisis	thyroid_disease
146	a292331012	500	Toxic diffuse goitre NOS	thyroid_disease
147	a292334016	50	Toxic uninodular goitre with no crisis	thyroid_disease
148	a292335015	1	Toxic uninodular goitre with crisis	thyroid_disease
149	a292338018	30	Toxic uninodular goitre NOS	thyroid_disease
150	a292339014	300	Toxic multinodular goitre with no crisis	thyroid_disease
151	a292342015	10	Toxic multinodular goitre with crisis	thyroid_disease
152	a292343013	800	Toxic multinodular goitre NOS	thyroid_disease
153	a292347014	80	Toxic nodular goitre unspecified with no crisis	thyroid_disease
154	a292350012	6	Toxic nodular goitre unspecified with crisis	thyroid_disease
155	a292354015	900	Toxic nodular goitre NOS	thyroid_disease
156	a297611000006111	80000	Non-toxic multinodular goitre	thyroid_disease
157	a297631000006117	1000	Nontoxic nodular goitre NOS	thyroid_disease
158	a297641000006110	5000	Non-toxic uninodular goitre	thyroid_disease
159	a3084131000006118	1	Multinodular non-toxic goitre	thyroid_disease
160	a329968011	90	Cretinism	thyroid_disease
161	a355932011	5000	Toxic goitre	thyroid_disease
162	a355961012	2000	"Hypothyroid goitre, acquired"	thyroid_disease
163	a355964016	10000	Autoimmune myxoedema	thyroid_disease
164	a356012016	700	Acquired atrophy of thyroid	thyroid_disease
165	a356406019	20	Thyroid-associated dermopathy	thyroid_disease
166	a35727012	70	Myxoedema coma	thyroid_disease
167	a3771061000006115	8	Pretibial myxoedema	thyroid_disease
168	a3927661000006113	2	Myxoedema myopathy	thyroid_disease
169	a398780011	10000	Toxic diffuse goitre	thyroid_disease
170	a415431010	10	Goitrous cretin	thyroid_disease
171	a416051000006119	400	[X]Other specified nontoxic goitre	thyroid_disease
172	a428591000006112	2	[X]Systemic atrophy affecting the CNS in myxoedema	thyroid_disease
173	a48600017	200	Thyroid crisis	thyroid_disease
174	a493538010	100000	Myxoedema	thyroid_disease
175	a542301000006117	8	Cerebellar ataxia due to myxoedema	thyroid_disease
176	a542671000006117	20	Cerebral degeneration due to myxoedema	thyroid_disease
177	a5500011000006113	6	Non-toxic goitre	thyroid_disease
178	a583291000006115	30	"Congenital iodine-deficiency syndrome, myxoedematous type"	thyroid_disease
179	a588661000006115	60	Congenital thyroid insufficiency	thyroid_disease
180	a600791000006112	200	Cretinism	thyroid_disease
181	a682701000006117	60	Myopathy due to myxoedema	thyroid_disease
